word,shortf,braille,array,lang
out,1256,⠳,"{1,2,5,6}",UEB
people,1234,⠏,"{1,2,3,4}",UEB
about,1,⠁,"{1}",UEB
not,1345,⠝,"{1,3,4,5}",UEB
you,13456,⠽,"{1,3,4,5,6}",UEB
it,1346,⠭,"{1,3,4,6}",UEB
will,2456,⠺,"{2,4,5,6}",UEB
very,1236,⠧,"{1,2,3,6}",UEB
so,234,⠎,"{2,3,4}",UEB
quite,12345,⠟,"{1,2,3,4,5}",UEB
like,123,⠇,"{1,2,3}",UEB
more,mo,⠍⠕,"{{1,3,4},{1,3,5}}",UEB
place,pl,⠏⠇,"{{1,2,3,4},{1,2,3}}",UEB
receive,rc,⠗⠉,"{{1,2,3,5},{1,4}}",UEB
right,rt,⠗⠞,"{{1,2,3,5},{2,3,4,5}}",UEB
time,tm,⠞⠍,"{{2,3,4,5},{1,3,4}}",UEB
under,un,⠥⠝,"{{1,3,6},{1,3,4,5}}",UEB
work,wr,⠺⠗,"{{2,4,5,6},{1,2,3,5}}",UEB
your,yr,⠽⠗,"{{1,3,4,5,6},{1,2,3,5}}",UEB
according,ac,⠁⠉,"{{1},{1,4}}",UEB
again,ag,⠁⠛,"{{1},{1,2,4,5}}",UEB
also,al,⠁⠇,"{{1},{1,2,3}}",UEB
because,bc,⠃⠉,"{{1,2},{1,4}}",UEB
behind,bh,⠃⠓,"{{1,2},{1,2,5}}",UEB
below,bl,⠃⠇,"{{1,2},{1,2,3}}",UEB
beside,bs,⠃⠎,"{{1,2},{2,3,4}}",UEB
between,bt,⠃⠞,"{{1,2},{2,3,4,5}}",UEB
beyond,by,⠃⠽,"{{1,2},{1,3,4,5,6}}",UEB
could,cd,⠉⠙,"{{1,4},{1,4,5}}",UEB
day,dy,⠙⠽,"{{1,4,5},{1,3,4,5,6}}",UEB
declare,dc,⠙⠉,"{{1,4,5},{1,4}}",UEB
either,ei,⠑⠊,"{{1,5},{2,4}}",UEB
good,gd,⠛⠙,"{{1,2,4,5},{1,4,5}}",UEB
herself,hf,⠓⠋,"{{1,2,5},{1,2,4}}",UEB
himself,hm,⠓⠍,"{{1,2,5},{1,3,4}}",UEB
its,it,⠊⠞,"{{2,4},{2,3,4,5}}",UEB
much,mh,⠍⠓,"{{1,3,4},{1,2,5}}",UEB
myself,mf,⠍⠋,"{{1,3,4},{1,2,4}}",UEB
ng,ng,⠝⠛,"{{1,3,4,5},{1,2,4,5}}",Philippine
bakit,b,⠃,"{1,2}",Philippine
kanya/kaniya,c,⠉,"{1,4}",Philippine
dahil,d,⠙,"{1,4,5}",Philippine
paano,f,⠋,"{1,2,4}",Philippine
ganoon,g,⠛,"{1,2,4,5}",Philippine
ganon,g,⠛,"{1,2,4,5}",Philippine
hindi,h,⠓,"{1,2,5}",Philippine
ikaw,i,⠊,"{2,4}",Philippine
hakbang,j,⠚,"{2,4,5}",Philippine
kaya,k,⠅,"{1,3}",Philippine
lamang,l,⠇,"{1,2,3}",Philippine
mga,m,⠍,"{1,3,4}",Philippine
ngayon,n,⠝,"{1,3,4,5}",Philippine
para,p,⠏,"{1,2,3,4}",Philippine
kailan,q,⠟,"{1,2,3,4,5}",Philippine
rin,r,⠗,"{1,2,3,5}",Philippine
sang-ayon,s,⠎,"{2,3,4}",Philippine
tayo,t,⠞,"{2,3,4,5}",Philippine
upang,u,⠥,"{1,3,6}",Philippine
bagaman,v,⠧,"{1,2,3,6}",Philippine
wala,w,⠺,"{2,4,5,6}",Philippine
ito,x,⠭,"{1,3,4,6}",Philippine
yaman,y,⠽,"{1,3,4,5,6}",Philippine
sa,z,⠵,"{1,3,5,6}",Philippine
dakila,dl,⠙⠇,"{{1,4,5},{1,2,3}}",Philippine
palaisipan,pi,⠏⠊,"{{1,2,3,4},{2,4}}",Philippine
araw,araw,⠜,"{3,4,5}",Philippine
ingay,ingay,⠬,"{3,4,6}",Philippine
maging,maging,⠩,"{1,4,6}",Philippine
mahal,mahal,⣿,"{1,2,3,4,5,6}",Philippine
naging,naging,⠫,"{1,2,4,6}",Philippine
raw,raw,⠻,"{1,2,4,5,6}",Philippine
tunay,tunay,⠳,"{1,2,5,6}",Philippine
binata,binata,⠐⠃,"{{5},{1,2}}",Philippine
dalaga,dalaga,⠐⠙,"{{5},{1,4,5}}",Philippine
hapon,hapon,⠐⠓,"{{5},{1,2,5}}",Philippine
halaman,halaman,⠐⠚,"{{5},{2,4,5}}",Philippine
opo,opo,⠐⠕,"{{5},{1,3,5}}",Philippine
larawan,larawan,⠐⠇,"{{5},{1,2,3}}",Philippine
ugali,ugali,⠐⠥,"{{5},{1,3,6}}",Philippine
salita,salita,⠐⠵,"{{5},{1,3,5,6}}",Philippine
sinta,sinta,⠐⠌,"{{5},{3,4}}",Philippine
sabi,sabi,⠐⠱,"{{5},{1,5,6}}",Philippine
zero,zero,⠼⠚,"{{3,4,5,6},{2,4,5}}",UEB
one,one,⠼⠁,"{{3,4,5,6},{1}}",UEB
two,two,⠼⠃,"{{3,4,5,6},{1,2}}",UEB
three,three,⠼⠉,"{{3,4,5,6},{1,4}}",UEB
four,four,⠼⠙,"{{3,4,5,6},{1,4,5}}",UEB
five,five,⠼⠑,"{{3,4,5,6},{1,5}}",UEB
six,six,⠼⠋,"{{3,4,5,6},{1,2,4}}",UEB
seven,seven,⠼⠛,"{{3,4,5,6},{1,2,4,5}}",UEB
eight,eight,⠼⠓,"{{3,4,5,6},{1,2,5}}",UEB
nine,nine,⠼⠊,"{{3,4,5,6},{2,4}}",UEB
